Date,Daily_Solar_MJ_m2
2024-01-01,4.2093
2024-01-02,9.7191
2024-01-03,2.4912
2024-01-04,6.6518999999999995
2024-01-05,6.2253
2024-01-06,1.8324
2024-01-07,9.7515
2024-01-08,6.3324
2024-01-09,3.6818999999999997
2024-01-10,10.5597
2024-01-11,11.028599999999999
2024-01-12,3.7826999999999997
2024-01-13,11.6541
2024-01-14,5.6853
2024-01-15,1.9116
2024-01-16,11.4462
2024-01-17,12.174299999999999
2024-01-18,3.6765
2024-01-19,8.455499999999999
2024-01-20,12.7935
2024-01-21,11.2086
2024-01-22,11.3589
2024-01-23,3.5856
2024-01-24,0.4977
2024-01-25,1.7576999999999998
2024-01-26,9.261
2024-01-27,4.0644
2024-01-28,3.3434999999999997
2024-01-29,9.0549
2024-01-30,12.2904
2024-01-31,12.8502
2024-02-01,12.114899999999999
2024-02-02,12.811499999999999
2024-02-03,11.9727
2024-02-04,1.3094999999999999
2024-02-05,13.811399999999999
2024-02-06,14.1975
2024-02-07,13.4208
2024-02-08,7.697699999999999
2024-02-09,4.212899999999999
2024-02-10,1.4211
2024-02-11,4.1913
2024-02-12,3.5027999999999997
2024-02-13,15.732
2024-02-14,15.6528
2024-02-15,14.633099999999999
2024-02-16,9.0135
2024-02-17,12.8079
2024-02-18,16.7076
2024-02-19,16.5285
2024-02-20,15.705
2024-02-21,15.147
2024-02-22,4.7808
2024-02-23,15.002999999999998
2024-02-24,17.1657
2024-02-25,16.2486
2024-02-26,13.324499999999999
2024-02-27,8.0505
2024-02-28,4.382099999999999
2024-02-29,9.7425
2024-03-01,2.5677
2024-03-02,12.467699999999999
2024-03-03,5.815799999999999
2024-03-04,8.225999999999999
2024-03-05,3.5235
2024-03-06,11.052
2024-03-07,16.7913
2024-03-08,4.4811
2024-03-09,5.4837
2024-03-10,20.6964
2024-03-11,18.7335
2024-03-12,20.1141
2024-03-13,17.2314
2024-03-14,16.4412
2024-03-15,5.9948999999999995
2024-03-16,14.8563
2024-03-17,10.9071
2024-03-18,22.4865
2024-03-19,22.706999999999997
2024-03-20,21.2436
2024-03-21,19.543499999999998
2024-03-22,5.7078
2024-03-23,22.632299999999997
2024-03-24,21.0852
2024-03-25,13.5297
2024-03-26,12.141
2024-03-27,19.7271
2024-03-28,24.066
2024-03-29,24.0525
2024-03-30,23.1507
2024-03-31,11.875499999999999
2024-04-01,6.3549
2024-04-02,5.3900999999999994
2024-04-03,17.685
2024-04-04,25.3863
2024-04-05,25.8633
2024-04-06,21.5577
2024-04-07,20.5884
2024-04-08,9.192599999999999
2024-04-09,3.06
2024-04-10,6.5672999999999995
2024-04-11,7.3278
2024-04-12,26.4132
2024-04-13,25.915499999999998
2024-04-14,20.5227
2024-04-15,24.572699999999998
2024-04-16,19.121399999999998
2024-04-17,7.5816
2024-04-18,15.579899999999999
2024-04-19,7.408799999999999
2024-04-20,10.8081
2024-04-21,18.72
2024-04-22,27.5778
2024-04-23,27.0612
2024-04-24,24.2793
2024-04-25,16.9758
2024-04-26,22.2228
2024-04-27,21.8214
2024-04-28,15.379199999999999
2024-04-29,14.552999999999999
2024-04-30,22.770899999999997
2024-05-01,27.8343
2024-05-02,21.909599999999998
2024-05-03,13.488299999999999
2024-05-04,16.447499999999998
2024-05-05,21.828599999999998
2024-05-06,21.7908
2024-05-07,13.4514
2024-05-08,15.7797
2024-05-09,25.255799999999997
2024-05-10,27.288
2024-05-11,28.5471
2024-05-12,24.010199999999998
2024-05-13,5.2911
2024-05-14,13.065299999999999
2024-05-15,19.3374
2024-05-16,26.2503
2024-05-17,6.3297
2024-05-18,11.8377
2024-05-19,27.7002
2024-05-20,20.096999999999998
2024-05-21,28.1313
2024-05-22,19.9791
2024-05-23,19.098
2024-05-24,10.5489
2024-05-25,24.497999999999998
2024-05-26,23.508
2024-05-27,26.473499999999998
2024-05-28,27.2106
2024-05-29,27.2988
2024-05-30,28.647
2024-05-31,20.5065
2024-06-01,4.0329
2024-06-02,18.1278
2024-06-03,18.5508
2024-06-04,17.1171
2024-06-05,21.1986
2024-06-06,19.2573
2024-06-07,29.727899999999998
2024-06-08,24.822
2024-06-09,22.7133
2024-06-10,29.583
2024-06-11,29.8962
2024-06-12,28.6317
2024-06-13,27.5112
2024-06-14,26.5761
2024-06-15,25.407899999999998
2024-06-16,27.4131
2024-06-17,19.3095
2024-06-18,19.6605
2024-06-19,16.7787
2024-06-20,26.517599999999998
2024-06-21,26.635499999999997
2024-06-22,26.8569
2024-06-23,22.988699999999998
2024-06-24,28.7307
2024-06-25,28.3491
2024-06-26,20.195999999999998
2024-06-27,14.8554
2024-06-28,17.260199999999998
2024-06-29,25.0731
2024-06-30,19.7163
2024-07-01,29.403
2024-07-02,28.999799999999997
2024-07-03,16.4961
2024-07-04,21.635099999999998
2024-07-05,22.221
2024-07-06,15.4683
2024-07-07,23.8725
2024-07-08,20.7045
2024-07-09,19.4778
2024-07-10,28.821599999999997
2024-07-11,28.5129
2024-07-12,27.007199999999997
2024-07-13,24.7041
2024-07-14,22.5945
2024-07-15,18.2871
2024-07-16,25.6662
2024-07-17,23.711399999999998
2024-07-18,16.1226
2024-07-19,10.227599999999999
2024-07-20,17.2413
2024-07-21,21.7287
2024-07-22,11.945699999999999
2024-07-23,11.0214
2024-07-24,11.069099999999999
2024-07-25,14.337
2024-07-26,16.3323
2024-07-27,13.9977
2024-07-28,4.8933
2024-07-29,16.3269
2024-07-30,25.9074
2024-07-31,22.258799999999997
2024-08-01,23.840999999999998
2024-08-02,23.769
2024-08-03,24.972299999999997
2024-08-04,26.1189
2024-08-05,24.84
2024-08-06,26.2071
2024-08-07,23.3676
2024-08-08,12.885299999999999
2024-08-09,24.462
2024-08-10,26.7093
2024-08-11,25.2324
2024-08-12,22.1355
2024-08-13,25.811999999999998
2024-08-14,12.0006
2024-08-15,24.9939
2024-08-16,23.0355
2024-08-17,22.8879
2024-08-18,25.209
2024-08-19,24.264899999999997
2024-08-20,25.717499999999998
2024-08-21,26.6904
2024-08-22,24.979499999999998
2024-08-23,25.7013
2024-08-24,26.1576
2024-08-25,26.1387
2024-08-26,25.682399999999998
2024-08-27,25.113599999999998
2024-08-28,24.5367
2024-08-29,19.0944
2024-08-30,17.752499999999998
2024-08-31,14.1813
2024-09-01,13.661999999999999
2024-09-02,21.7989
2024-09-03,17.741699999999998
2024-09-04,20.727
2024-09-05,17.4303
2024-09-06,10.2213
2024-09-07,23.6295
2024-09-08,25.2369
2024-09-09,23.113799999999998
2024-09-10,22.067999999999998
2024-09-11,18.738
2024-09-12,4.4784
2024-09-13,4.9203
2024-09-14,4.0617
2024-09-15,8.768699999999999
2024-09-16,21.1734
2024-09-17,22.313699999999997
2024-09-18,17.7192
2024-09-19,19.4634
2024-09-20,21.4119
2024-09-21,19.7415
2024-09-22,18.4158
2024-09-23,17.0046
2024-09-24,13.4865
2024-09-25,7.9821
2024-09-26,18.0441
2024-09-27,4.5459
2024-09-28,4.5666
2024-09-29,9.1656
2024-09-30,5.7699
2024-10-01,11.3634
2024-10-02,18.639
2024-10-03,19.1178
2024-10-04,17.857799999999997
2024-10-05,18.662399999999998
2024-10-06,18.495
2024-10-07,18.7614
2024-10-08,18.657899999999998
2024-10-09,18.5247
2024-10-10,17.7102
2024-10-11,17.8254
2024-10-12,17.1144
2024-10-13,16.1955
2024-10-14,17.1864
2024-10-15,14.3334
2024-10-16,17.1873
2024-10-17,16.9326
2024-10-18,16.750799999999998
2024-10-19,17.0019
2024-10-20,16.4601
2024-10-21,16.3296
2024-10-22,15.9939
2024-10-23,14.5899
2024-10-24,15.0255
2024-10-25,14.8257
2024-10-26,10.9422
2024-10-27,14.6754
2024-10-28,13.554
2024-10-29,13.274099999999999
2024-10-30,5.890499999999999
2024-10-31,7.003799999999999
2024-11-01,5.6052
2024-11-02,8.163
2024-11-03,13.0662
2024-11-04,12.1176
2024-11-05,5.922
2024-11-06,9.147599999999999
2024-11-07,7.145099999999999
2024-11-08,4.9977
2024-11-09,4.658399999999999
2024-11-10,4.7924999999999995
2024-11-11,12.2427
2024-11-12,13.0338
2024-11-13,3.5901
2024-11-14,12.1077
2024-11-15,9.047699999999999
2024-11-16,12.956399999999999
2024-11-17,11.0268
2024-11-18,11.9574
2024-11-19,1.7199
2024-11-20,11.7738
2024-11-21,12.5343
2024-11-22,12.2913
2024-11-23,12.129299999999999
2024-11-24,11.5956
2024-11-25,5.7276
2024-11-26,12.3894
2024-11-27,8.7363
2024-11-28,3.8276999999999997
2024-11-29,11.9124
2024-11-30,11.651399999999999
2024-12-01,11.263499999999999
2024-12-02,11.4876
2024-12-03,11.6496
2024-12-04,8.177399999999999
2024-12-05,11.4489
