Date,Daily_Solar_MJ_m2
2023-01-01,10.5246
2023-01-02,4.329899999999999
2023-01-03,2.5488
2023-01-04,11.248199999999999
2023-01-05,11.1627
2023-01-06,10.5291
2023-01-07,4.5477
2023-01-08,2.2167
2023-01-09,11.1528
2023-01-10,10.6695
2023-01-11,3.4019999999999997
2023-01-12,7.314299999999999
2023-01-13,2.5218
2023-01-14,11.3247
2023-01-15,11.8017
2023-01-16,3.9473999999999996
2023-01-17,8.5122
2023-01-18,5.561999999999999
2023-01-19,11.9475
2023-01-20,12.078
2023-01-21,10.3608
2023-01-22,2.5848
2023-01-23,9.2547
2023-01-24,10.3608
2023-01-25,5.6304
2023-01-26,7.541099999999999
2023-01-27,12.9726
2023-01-28,8.1045
2023-01-29,2.4642
2023-01-30,6.3081
2023-01-31,2.9537999999999998
2023-02-01,3.5181
2023-02-02,1.251
2023-02-03,13.926599999999999
2023-02-04,10.854899999999999
2023-02-05,12.3606
2023-02-06,14.648399999999999
2023-02-07,11.373299999999999
2023-02-08,5.201099999999999
2023-02-09,14.6853
2023-02-10,12.6342
2023-02-11,6.3468
2023-02-12,15.6159
2023-02-13,15.2118
2023-02-14,9.784799999999999
2023-02-15,6.159599999999999
2023-02-16,5.4009
2023-02-17,7.6796999999999995
2023-02-18,16.7283
2023-02-19,16.005599999999998
2023-02-20,7.411499999999999
2023-02-21,9.396899999999999
2023-02-22,12.248099999999999
2023-02-23,14.8446
2023-02-24,2.0358
2023-02-25,2.7279
2023-02-26,7.146
2023-02-27,8.1549
2023-02-28,17.7696
2023-03-01,5.6762999999999995
2023-03-02,2.5955999999999997
2023-03-03,10.2402
2023-03-04,18.6111
2023-03-05,18.9
2023-03-06,17.2836
2023-03-07,18.2502
2023-03-08,7.3736999999999995
2023-03-09,6.231599999999999
2023-03-10,15.1434
2023-03-11,14.628599999999999
2023-03-12,2.6064
2023-03-13,17.647199999999998
2023-03-14,21.2976
2023-03-15,21.6846
2023-03-16,18.1935
2023-03-17,5.6960999999999995
2023-03-18,19.883699999999997
2023-03-19,19.7154
2023-03-20,22.4244
2023-03-21,13.2804
2023-03-22,5.5809
2023-03-23,18.862199999999998
2023-03-24,17.3916
2023-03-25,22.392899999999997
2023-03-26,21.3183
2023-03-27,22.7169
2023-03-28,18.738899999999997
2023-03-29,23.981399999999997
2023-03-30,23.0823
2023-03-31,7.252199999999999
2023-04-01,23.3919
2023-04-02,24.2919
2023-04-03,7.2801
2023-04-04,18.5814
2023-04-05,14.5548
2023-04-06,6.5493
2023-04-07,4.0878
2023-04-08,4.456799999999999
2023-04-09,19.624499999999998
2023-04-10,25.11
2023-04-11,25.4286
2023-04-12,25.6311
2023-04-13,10.638
2023-04-14,5.8689
2023-04-15,19.0062
2023-04-16,21.8358
2023-04-17,26.6526
2023-04-18,25.6968
2023-04-19,25.8876
2023-04-20,25.5348
2023-04-21,9.9693
2023-04-22,25.0335
2023-04-23,12.353399999999999
2023-04-24,26.7507
2023-04-25,22.7169
2023-04-26,13.193999999999999
2023-04-27,5.2686
2023-04-28,18.423
2023-04-29,17.4753
2023-04-30,22.3191
2023-05-01,27.479699999999998
2023-05-02,27.539099999999998
2023-05-03,27.2385
2023-05-04,24.8247
2023-05-05,5.9274
2023-05-06,20.2698
2023-05-07,21.9762
2023-05-08,15.4908
2023-05-09,24.7959
2023-05-10,17.273699999999998
2023-05-11,10.794599999999999
2023-05-12,6.4601999999999995
2023-05-13,23.8824
2023-05-14,24.6942
2023-05-15,19.5291
2023-05-16,20.2779
2023-05-17,12.143699999999999
2023-05-18,23.3559
2023-05-19,10.162799999999999
2023-05-20,7.9479
2023-05-21,25.442999999999998
2023-05-22,21.8763
2023-05-23,17.6328
2023-05-24,25.385399999999997
2023-05-25,24.5592
2023-05-26,25.0029
2023-05-27,17.1864
2023-05-28,25.770599999999998
2023-05-29,23.706
2023-05-30,21.8736
2023-05-31,19.554299999999998
2023-06-01,25.8966
2023-06-02,20.5776
2023-06-03,27.3024
2023-06-04,26.7867
2023-06-05,22.2912
2023-06-06,20.7774
2023-06-07,26.397
2023-06-08,26.9595
2023-06-09,26.647199999999998
2023-06-10,19.0431
2023-06-11,23.825699999999998
2023-06-12,16.293599999999998
2023-06-13,24.0552
2023-06-14,12.1113
2023-06-15,11.665799999999999
2023-06-16,22.8996
2023-06-17,25.6347
2023-06-18,13.3164
2023-06-19,24.3801
2023-06-20,16.245
2023-06-21,13.2282
2023-06-22,20.0763
2023-06-23,25.398899999999998
2023-06-24,26.2674
2023-06-25,18.394199999999998
2023-06-26,27.987299999999998
2023-06-27,27.807299999999998
2023-06-28,25.6482
2023-06-29,20.8413
2023-06-30,26.7156
2023-07-01,10.4904
2023-07-02,16.6194
2023-07-03,11.8692
2023-07-04,17.822699999999998
2023-07-05,20.7216
2023-07-06,19.9926
2023-07-07,19.467
2023-07-08,13.176
2023-07-09,10.9107
2023-07-10,25.5078
2023-07-11,24.871499999999997
2023-07-12,22.041
2023-07-13,20.0538
2023-07-14,12.3606
2023-07-15,16.2468
2023-07-16,23.7258
2023-07-17,23.2443
2023-07-18,20.8098
2023-07-19,11.6892
2023-07-20,21.868199999999998
2023-07-21,17.3916
2023-07-22,20.639699999999998
2023-07-23,25.3818
2023-07-24,24.8508
2023-07-25,25.362
2023-07-26,21.7413
2023-07-27,19.6362
2023-07-28,24.7239
2023-07-29,22.9347
2023-07-30,21.9519
2023-07-31,25.7337
2023-08-01,22.327199999999998
2023-08-02,20.7198
2023-08-03,12.5838
2023-08-04,10.1592
2023-08-05,22.6728
2023-08-06,13.9131
2023-08-07,8.6004
2023-08-08,9.6246
2023-08-09,11.1861
2023-08-10,17.598599999999998
2023-08-11,22.113899999999997
2023-08-12,13.100399999999999
2023-08-13,19.936799999999998
2023-08-14,22.6188
2023-08-15,24.1587
2023-08-16,23.3082
2023-08-17,26.1783
2023-08-18,24.5196
2023-08-19,24.2505
2023-08-20,23.3064
2023-08-21,23.9346
2023-08-22,23.067
2023-08-23,23.7942
2023-08-24,21.843899999999998
2023-08-25,22.4757
2023-08-26,22.6971
2023-08-27,16.02
2023-08-28,7.1757
2023-08-29,14.4063
2023-08-30,25.029899999999998
2023-08-31,24.8418
2023-09-01,11.5677
2023-09-02,12.6711
2023-09-03,18.0828
2023-09-04,19.828799999999998
2023-09-05,17.8218
2023-09-06,13.7115
2023-09-07,21.3705
2023-09-08,20.8827
2023-09-09,17.0235
2023-09-10,16.7688
2023-09-11,19.7541
2023-09-12,16.794
2023-09-13,16.244999999999997
2023-09-14,18.0153
2023-09-15,17.5842
2023-09-16,8.246699999999999
2023-09-17,21.0825
2023-09-18,21.9906
2023-09-19,22.2714
2023-09-20,17.2944
2023-09-21,16.0479
2023-09-22,20.0151
2023-09-23,21.2193
2023-09-24,18.653399999999998
2023-09-25,16.6464
2023-09-26,20.2284
2023-09-27,19.4742
2023-09-28,18.7515
2023-09-29,10.2258
2023-09-30,18.9162
2023-10-01,14.7105
2023-10-02,17.7624
2023-10-03,18.4221
2023-10-04,13.423499999999999
2023-10-05,7.5276
2023-10-06,10.372499999999999
2023-10-07,18.828
2023-10-08,18.3312
2023-10-09,17.6751
2023-10-10,17.3259
2023-10-11,4.0599
2023-10-12,11.5236
2023-10-13,6.221699999999999
2023-10-14,14.741999999999999
2023-10-15,5.1849
2023-10-16,9.107999999999999
