Date,Daily_Solar_MJ_m2
2022-01-01,6.776999999999999
2022-01-02,2.1618
2022-01-03,3.3678
2022-01-04,11.675699999999999
2022-01-05,8.848799999999999
2022-01-06,1.5795
2022-01-07,10.9422
2022-01-08,9.4923
2022-01-09,1.1556
2022-01-10,11.9574
2022-01-11,11.825099999999999
2022-01-12,11.3913
2022-01-13,8.535599999999999
2022-01-14,8.2647
2022-01-15,2.9943
2022-01-16,1.5758999999999999
2022-01-17,2.7729
2022-01-18,11.6631
2022-01-19,8.4015
2022-01-20,4.7528999999999995
2022-01-21,8.838
2022-01-22,13.215599999999998
2022-01-23,12.846599999999999
2022-01-24,12.547799999999999
2022-01-25,13.129199999999999
2022-01-26,13.3317
2022-01-27,12.537899999999999
2022-01-28,11.4876
2022-01-29,13.707899999999999
2022-01-30,13.6368
2022-01-31,13.9482
2022-02-01,13.513499999999999
2022-02-02,1.0125
2022-02-03,1.2951
2022-02-04,2.8323
2022-02-05,14.877899999999999
2022-02-06,14.9697
2022-02-07,14.922899999999998
2022-02-08,15.3387
2022-02-09,15.371099999999998
2022-02-10,15.3621
2022-02-11,15.2613
2022-02-12,8.107199999999999
2022-02-13,16.124399999999998
2022-02-14,16.02
2022-02-15,16.1343
2022-02-16,14.1282
2022-02-17,4.6476
2022-02-18,14.912099999999999
2022-02-19,16.9317
2022-02-20,16.9182
2022-02-21,2.1951
2022-02-22,5.7447
2022-02-23,4.3587
2022-02-24,5.715
2022-02-25,6.4727999999999994
2022-02-26,3.8502
2022-02-27,5.1174
2022-02-28,19.205099999999998
2022-03-01,19.286099999999998
2022-03-02,19.197
2022-03-03,19.1277
2022-03-04,18.679499999999997
2022-03-05,15.2127
2022-03-06,14.259599999999999
2022-03-07,3.6252
2022-03-08,10.7487
2022-03-09,9.993599999999999
2022-03-10,21.0888
2022-03-11,19.763099999999998
2022-03-12,21.3876
2022-03-13,21.938399999999998
2022-03-14,21.1896
2022-03-15,6.930899999999999
2022-03-16,12.3354
2022-03-17,18.3132
2022-03-18,8.4924
2022-03-19,11.7972
2022-03-20,23.337899999999998
2022-03-21,21.9528
2022-03-22,9.809099999999999
2022-03-23,10.651499999999999
2022-03-24,23.6646
2022-03-25,16.8111
2022-03-26,24.6204
2022-03-27,20.1906
2022-03-28,20.5416
2022-03-29,18.7398
2022-03-30,16.130699999999997
2022-03-31,15.5808
2022-04-01,25.594199999999997
2022-04-02,12.611699999999999
2022-04-03,21.6297
2022-04-04,16.3188
2022-04-05,5.0066999999999995
2022-04-06,14.8005
2022-04-07,25.4916
2022-04-08,6.3854999999999995
2022-04-09,26.051399999999997
2022-04-10,25.8111
2022-04-11,8.5032
2022-04-12,12.555
2022-04-13,20.0763
2022-04-14,25.4331
2022-04-15,23.8131
2022-04-16,8.091
2022-04-17,8.7624
2022-04-18,14.713199999999999
2022-04-19,28.0035
2022-04-20,19.656
2022-04-21,19.1205
2022-04-22,26.4717
2022-04-23,25.4592
2022-04-24,26.7849
2022-04-25,14.8797
2022-04-26,26.5761
2022-04-27,28.602899999999998
2022-04-28,27.688499999999998
2022-04-29,21.511799999999997
2022-04-30,16.7949
