Date,Daily_Solar_MJ_m2
2019-01-01,6.489
2019-01-02,1.6902
2019-01-03,2.7126
2019-01-04,3.7638
2019-01-05,10.9953
2019-01-06,11.0646
2019-01-07,8.569799999999999
2019-01-08,7.2702
2019-01-09,11.772
2019-01-10,11.551499999999999
2019-01-11,9.600299999999999
2019-01-12,2.0241
2019-01-13,1.5867
2019-01-14,1.9215
2019-01-15,3.4488
2019-01-16,11.850299999999999
2019-01-17,1.3473
2019-01-18,4.3938
2019-01-19,3.1527
2019-01-20,8.5131
2019-01-21,12.1284
2019-01-22,8.1
2019-01-23,1.3185
2019-01-24,12.6756
2019-01-25,13.1022
2019-01-26,11.7675
2019-01-27,12.2958
2019-01-28,10.1448
2019-01-29,13.5819
2019-01-30,12.7881
2019-01-31,12.358799999999999
2019-02-01,10.7496
2019-02-02,13.4667
2019-02-03,6.3441
2019-02-04,4.095899999999999
2019-02-05,5.841
2019-02-06,4.77
2019-02-07,8.998199999999999
2019-02-08,14.016599999999999
2019-02-09,13.463099999999999
2019-02-10,2.799
2019-02-11,4.0014
2019-02-12,2.4642
2019-02-13,15.4233
2019-02-14,8.3223
2019-02-15,3.7691999999999997
2019-02-16,3.5675999999999997
2019-02-17,1.9323
2019-02-18,8.8587
2019-02-19,0.7991999999999999
2019-02-20,1.0485
2019-02-21,2.4534
2019-02-22,2.6189999999999998
2019-02-23,4.2759
2019-02-24,17.9532
2019-02-25,16.179299999999998
2019-02-26,15.3873
2019-02-27,16.104599999999998
2019-02-28,3.4632
2019-03-01,3.5540999999999996
2019-03-02,6.4818
2019-03-03,1.7432999999999998
2019-03-04,9.3249
2019-03-05,19.7946
2019-03-06,19.8324
2019-03-07,9.567
2019-03-08,2.6738999999999997
2019-03-09,4.1868
2019-03-10,18.3141
2019-03-11,7.7463
2019-03-12,13.9878
2019-03-13,13.135499999999999
2019-03-14,6.2486999999999995
2019-03-15,21.779999999999998
2019-03-16,19.8603
2019-03-17,22.1562
2019-03-18,21.3678
2019-03-19,22.674599999999998
2019-03-20,21.7233
2019-03-21,20.2122
2019-03-22,22.8537
2019-03-23,21.2211
2019-03-24,11.183399999999999
2019-03-25,10.2906
2019-03-26,22.706999999999997
2019-03-27,23.3658
2019-03-28,22.3551
2019-03-29,17.9982
2019-03-30,12.1554
2019-03-31,16.1856
2019-04-01,21.9969
2019-04-02,24.4458
2019-04-03,23.331599999999998
2019-04-04,5.815799999999999
2019-04-05,14.324399999999999
2019-04-06,21.3732
2019-04-07,11.061
2019-04-08,3.9654
2019-04-09,20.0853
2019-04-10,25.0974
2019-04-11,21.5199
2019-04-12,5.6511
2019-04-13,6.3134999999999994
2019-04-14,14.2515
2019-04-15,26.121599999999997
2019-04-16,26.171999999999997
2019-04-17,18.6795
2019-04-18,14.628599999999999
2019-04-19,7.0218
2019-04-20,17.238599999999998
2019-04-21,27.242099999999997
2019-04-22,26.523899999999998
2019-04-23,18.2457
2019-04-24,25.9083
2019-04-25,7.515899999999999
2019-04-26,27.261899999999997
2019-04-27,25.126199999999997
2019-04-28,23.1525
2019-04-29,24.526799999999998
2019-04-30,21.9951
2019-05-01,19.1331
2019-05-02,17.576999999999998
2019-05-03,17.668799999999997
2019-05-04,9.450899999999999
2019-05-05,17.9577
2019-05-06,27.8235
2019-05-07,24.496199999999998
2019-05-08,26.657999999999998
2019-05-09,3.7962
2019-05-10,10.774799999999999
2019-05-11,9.6318
2019-05-12,13.9599
2019-05-13,22.825799999999997
2019-05-14,28.6848
2019-05-15,16.4052
2019-05-16,26.7336
2019-05-17,26.3232
2019-05-18,27.035999999999998
2019-05-19,15.5331
2019-05-20,24.647399999999998
2019-05-21,27.5445
2019-05-22,27.2079
2019-05-23,27.440099999999997
2019-05-24,25.539299999999997
2019-05-25,26.3223
2019-05-26,27.662399999999998
2019-05-27,23.6331
2019-05-28,24.153299999999998
2019-05-29,27.440099999999997
2019-05-30,21.9573
2019-05-31,27.2259
2019-06-01,25.8345
2019-06-02,24.7914
2019-06-03,26.154
2019-06-04,13.2228
2019-06-05,11.2815
2019-06-06,5.9319
2019-06-07,19.0602
2019-06-08,13.8987
2019-06-09,19.2807
2019-06-10,24.8931
2019-06-11,21.5883
2019-06-12,22.845599999999997
2019-06-13,27.406799999999997
2019-06-14,28.0233
2019-06-15,26.708399999999997
2019-06-16,20.3931
2019-06-17,21.015
2019-06-18,12.8871
2019-06-19,23.720399999999998
2019-06-20,19.9404
2019-06-21,25.488899999999997
2019-06-22,12.930299999999999
2019-06-23,25.0614
2019-06-24,19.701
2019-06-25,24.2469
2019-06-26,27.2061
2019-06-27,17.016299999999998
2019-06-28,24.7986
2019-06-29,21.6621
2019-06-30,23.9508
2019-07-01,26.8128
2019-07-02,22.7655
2019-07-03,19.668599999999998
2019-07-04,20.8764
2019-07-05,24.2172
2019-07-06,21.5829
2019-07-07,14.4369
