Date,Daily_Solar_MJ_m2
2021-01-01,10.620899999999999
2021-01-02,8.2404
2021-01-03,11.0817
2021-01-04,5.967899999999999
2021-01-05,9.9558
2021-01-06,10.2645
2021-01-07,1.6011
2021-01-08,2.2977
2021-01-09,2.367
2021-01-10,6.912
2021-01-11,2.8295999999999997
2021-01-12,10.8441
2021-01-13,11.6946
2021-01-14,11.5956
2021-01-15,9.9675
2021-01-16,4.6971
2021-01-17,11.2257
2021-01-18,12.1311
2021-01-19,2.6451
2021-01-20,7.9658999999999995
2021-01-21,2.1816
2021-01-22,9.0657
2021-01-23,11.6505
2021-01-24,3.447
2021-01-25,5.997599999999999
2021-01-26,11.825999999999999
2021-01-27,8.4573
2021-01-28,13.6008
2021-01-29,13.581
2021-01-30,5.0256
2021-01-31,6.839099999999999
2021-02-01,2.4777
2021-02-02,14.3334
2021-02-03,14.211
2021-02-04,6.848999999999999
2021-02-05,12.8718
2021-02-06,7.7318999999999996
2021-02-07,3.1536
2021-02-08,11.3157
2021-02-09,11.048399999999999
2021-02-10,12.8439
2021-02-11,1.4058
2021-02-12,2.6946
2021-02-13,2.439
2021-02-14,2.4507
2021-02-15,1.2843
2021-02-16,6.9642
2021-02-17,5.7798
2021-02-18,6.3603
2021-02-19,16.906499999999998
2021-02-20,17.5752
2021-02-21,17.4906
2021-02-22,17.7822
2021-02-23,17.7183
2021-02-24,17.7273
2021-02-25,15.515099999999999
2021-02-26,3.1635
2021-02-27,7.6194
2021-02-28,6.9894
2021-03-01,2.5469999999999997
2021-03-02,8.4312
2021-03-03,19.5678
2021-03-04,19.3797
2021-03-05,14.075099999999999
2021-03-06,20.112299999999998
2021-03-07,20.5038
2021-03-08,20.907899999999998
2021-03-09,16.0209
2021-03-10,17.0325
2021-03-11,14.2227
2021-03-12,13.447799999999999
2021-03-13,10.5399
2021-03-14,17.874
2021-03-15,7.6446
2021-03-16,11.2104
2021-03-17,2.4497999999999998
2021-03-18,5.8959
2021-03-19,4.765499999999999
2021-03-20,23.2317
2021-03-21,20.7522
2021-03-22,17.0109
2021-03-23,5.3586
2021-03-24,17.7318
2021-03-25,5.1732
2021-03-26,24.078599999999998
2021-03-27,10.9782
2021-03-28,17.982
2021-03-29,24.891299999999998
2021-03-30,20.5857
2021-03-31,5.2893
2021-04-01,25.469099999999997
2021-04-02,25.5519
2021-04-03,24.3648
2021-04-04,25.0902
2021-04-05,24.615
2021-04-06,23.6439
2021-04-07,17.2665
2021-04-08,21.4317
2021-04-09,17.855999999999998
2021-04-10,14.010299999999999
2021-04-11,25.866899999999998
2021-04-12,25.223399999999998
2021-04-13,18.604799999999997
2021-04-14,9.386999999999999
2021-04-15,23.5458
2021-04-16,16.3278
2021-04-17,15.763499999999999
2021-04-18,16.7607
2021-04-19,26.9316
2021-04-20,27.025199999999998
2021-04-21,23.3604
2021-04-22,26.991899999999998
2021-04-23,19.4391
2021-04-24,15.2883
2021-04-25,22.8033
2021-04-26,26.7849
2021-04-27,23.4288
2021-04-28,15.699599999999998
2021-04-29,9.341999999999999
2021-04-30,21.8223
2021-05-01,27.266399999999997
2021-05-02,8.8902
2021-05-03,20.1438
2021-05-04,5.9481
2021-05-05,21.4317
2021-05-06,27.8145
2021-05-07,28.292399999999997
2021-05-08,14.6646
2021-05-09,12.5001
2021-05-10,7.8426
2021-05-11,15.8292
2021-05-12,25.9137
2021-05-13,27.791999999999998
2021-05-14,29.305799999999998
2021-05-15,28.2105
2021-05-16,26.1144
2021-05-17,18.2268
2021-05-18,7.6400999999999994
2021-05-19,24.7608
2021-05-20,28.510199999999998
2021-05-21,28.6632
2021-05-22,21.4245
2021-05-23,28.901699999999998
2021-05-24,26.6616
2021-05-25,26.982
2021-05-26,15.4125
