"Year","Month","Precipitation","NA","SPI"
2015,11,4.29,0.048351256076477,0.048351256076477
2016,11,4.58,0.558988653193681,0.558988653193681
2017,11,3.25,-0.528670048607668,-0.528670048607668
2018,11,1.41,-1.79242758416916,-1.79242758416916
2019,11,5.18,0.248046516412835,0.248046516412835
2020,11,7.95,1.31547323838647,1.31547323838647
2021,11,1.89,-1.27027731041749,-1.27027731041749
2022,11,1.71,-1.22468165364331,-1.22468165364331
2023,11,4.04,-0.230623399639851,-0.230623399639851
2024,11,1.58,-1.58892499488611,-1.58892499488611
2025,11,1.24,-1.54707315261631,-1.54707315261631
1994,12,5.18504,0.484470371589536,0.484470371589536
1995,12,4.05032,-0.0680755753011918,-0.0680755753011918
1996,12,4.99789,0.749061318555021,0.749061318555021
1997,12,6.129064,0.586781353305907,0.586781353305907
1998,12,3.977824,0.347416278360611,0.347416278360611
1999,12,7.579772,1.20541576974306,1.20541576974306
2000,12,2.56,-0.844247430624887,-0.844247430624887
2001,12,4.1,-0.0895802549866114,-0.0895802549866114
2002,12,5.15,0.601750782047827,0.601750782047827
2003,12,5.91,0.505241816876449,0.505241816876449
2004,12,2.83,-0.810821734322838,-0.810821734322838
2005,12,7.88,1.44905587360475,1.44905587360475
2006,12,4.67,0.0740446540009958,0.0740446540009958
2007,12,3.47,-0.370671705992745,-0.370671705992745
2008,12,3.18,-0.177099409101612,-0.177099409101612
2009,12,10.54,1.75292119678643,1.75292119678643
2010,12,4.44,0.618785616698321,0.618785616698321
2011,12,2.06,-1.63327678502836,-1.63327678502836
2012,12,6.64,0.914464872013371,0.914464872013371
2013,12,5.42,0.411568961707187,0.411568961707187
2014,12,4.77,0.45265083871028,0.45265083871028
2015,12,5.13,0.220513584666968,0.220513584666968
2016,12,6.94,0.690619241549686,0.690619241549686
2017,12,5.34,0.659560323641945,0.659560323641945
2018,12,5.36,0.617720558280557,0.617720558280557
2019,12,7.02,1.14412294682239,1.14412294682239
2020,12,4.75,0.637626633206763,0.637626633206763
2021,12,5.01,0.206746987255563,0.206746987255563
2022,12,3.37,-0.0434160466830286,-0.0434160466830286
2023,12,6.35,0.744479960552533,0.744479960552533
2024,12,3.26,-0.447968647210922,-0.447968647210922
2025,12,3.16,-0.51799340281185,-0.51799340281185
